sample,stage,outer_held_out_record,candidate,source,name,candidate_order,candidate_config,inner_mean_balanced_accuracy,inner_held_out_record,n_inner_train,n_inner_validation,accuracy,balanced_accuracy,auc,macro_f1,n_train,n_validation
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::baseline_logistic_l2_1,round1_classifier,round1::baseline_logistic_l2_1,0,"{""name"": ""baseline_logistic_l2_1"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 1.0, ""gamma"": null, ""candidate"": ""baseline_logistic_l2_1"", ""parameters"": ""{\""parameter\"": 1.0, \""gamma\"": null}""}",0.4848175545061144,VisualCogA_Task-2,191.0,96.0,0.4583333333333333,0.43915343915343913,0.41666666666666663,0.4337568058076225,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::baseline_logistic_l2_1,round1_classifier,round1::baseline_logistic_l2_1,0,"{""name"": ""baseline_logistic_l2_1"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 1.0, ""gamma"": null, ""candidate"": ""baseline_logistic_l2_1"", ""parameters"": ""{\""parameter\"": 1.0, \""gamma\"": null}""}",0.4848175545061144,VisualCogB_Task-1,189.0,98.0,0.4897959183673469,0.4866220735785953,0.5071070234113713,0.4863731656184486,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::baseline_logistic_l2_1,round1_classifier,round1::baseline_logistic_l2_1,0,"{""name"": ""baseline_logistic_l2_1"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 1.0, ""gamma"": null, ""candidate"": ""baseline_logistic_l2_1"", ""parameters"": ""{\""parameter\"": 1.0, \""gamma\"": null}""}",0.4848175545061144,VisualCogB_Task-2,194.0,93.0,0.5268817204301075,0.528677150786309,0.4842738205365402,0.5142450142450142,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,round1::logistic_full_baseline_13_l2_0.1,1,"{""name"": ""logistic_full_baseline_13_l2_0.1"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 0.1, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_0.1"", ""parameters"": ""{\""parameter\"": 0.1, \""gamma\"": null}""}",0.48439949430544554,VisualCogA_Task-2,191.0,96.0,0.4583333333333333,0.43915343915343913,0.4175485008818342,0.4337568058076225,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,round1::logistic_full_baseline_13_l2_0.1,1,"{""name"": ""logistic_full_baseline_13_l2_0.1"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 0.1, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_0.1"", ""parameters"": ""{\""parameter\"": 0.1, \""gamma\"": null}""}",0.48439949430544554,VisualCogB_Task-1,189.0,98.0,0.4897959183673469,0.48536789297658867,0.5108695652173912,0.48442760942760943,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_0.1,round1_classifier,round1::logistic_full_baseline_13_l2_0.1,1,"{""name"": ""logistic_full_baseline_13_l2_0.1"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 0.1, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_0.1"", ""parameters"": ""{\""parameter\"": 0.1, \""gamma\"": null}""}",0.48439949430544554,VisualCogB_Task-2,194.0,93.0,0.5268817204301075,0.528677150786309,0.4842738205365402,0.5142450142450142,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,round1::logistic_full_baseline_13_l2_10,2,"{""name"": ""logistic_full_baseline_13_l2_10"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_10"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": null}""}",0.471196391062256,VisualCogA_Task-2,191.0,96.0,0.46875,0.44841269841269843,0.41578483245149916,0.4420512820512821,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,round1::logistic_full_baseline_13_l2_10,2,"{""name"": ""logistic_full_baseline_13_l2_10"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_10"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": null}""}",0.471196391062256,VisualCogB_Task-1,189.0,98.0,0.45918367346938777,0.45777591973244147,0.504180602006689,0.457772210042802,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_10,round1_classifier,round1::logistic_full_baseline_13_l2_10,2,"{""name"": ""logistic_full_baseline_13_l2_10"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 10.0, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_10"", ""parameters"": ""{\""parameter\"": 10.0, \""gamma\"": null}""}",0.471196391062256,VisualCogB_Task-2,194.0,93.0,0.5053763440860215,0.5074005550416281,0.49028677150786315,0.4882775119617225,,
raw_qc_pass,cue_locked,VisualCogA_Task-1,round1::logistic_full_baseline_13_l2_100,round1_classifier,round1::logistic_full_baseline_13_l2_100,3,"{""name"": ""logistic_full_baseline_13_l2_100"", ""model"": ""logistic"", ""feature_set"": ""full_baseline_13"", ""scaler"": ""standard"", ""parameter"": 100.0, ""gamma"": null, ""candidate"": ""logistic_full_baseline_13_l2_100"", ""parameters"": ""{\""parameter\"": 100.0, \""gamma\"": null}""}",0.4871459156072169,VisualCogA_Task-2,191.0,96.0,0.4479166666666667,0.4378306878306878,0.4109347442680776,0.43760362551121923,,
